,0
2009-09-11,628970.0
2009-09-14,630160.0
2009-09-15,630690.0
2009-09-16,632080.0
2009-09-17,632370.0
2009-09-18,632380.0
2009-09-21,632760.0
2009-09-22,634590.0
2009-09-23,635930.0
2009-09-24,636590.0
2009-09-25,637270.0
2009-09-28,638370.0
2009-09-29,638440.0
2009-09-30,639450.0
2009-10-01,641780.0
2009-10-02,642290.0
2009-10-05,644140.0
2009-10-06,645200.0
2009-10-07,645950.0
2009-10-08,646330.0
2009-10-09,646850.0
2009-10-12,647070.0
2009-10-13,647470.0
2009-10-14,648900.0
2009-10-15,648900.0
2009-10-16,649950.0
2009-10-19,650020.0
2009-10-20,650060.0
2009-10-21,651370.0
2009-10-22,652380.0
2009-10-23,652840.0
2009-10-26,654180.0
2009-10-27,654250.0
2009-10-28,655410.0
2009-10-29,657000.0
2009-10-30,659450.0
2009-11-02,660220.0
2009-11-03,660330.0
2009-11-04,660800.0
2009-11-05,662390.0
2009-11-06,662770.0
2009-11-09,663600.0
2009-11-10,663770.0
2009-11-11,663920.0
2009-11-12,664900.0
2009-11-13,665280.0
2009-11-16,665420.0
2009-11-17,665530.0
2009-11-18,665740.0
2009-11-19,666530.0
2009-11-20,666620.0
2009-11-23,667400.0
2009-11-24,668160.0
2009-11-25,668460.0
2009-11-27,669250.0
2009-11-30,670350.0
2009-12-01,670610.0
2009-12-02,670880.0
2009-12-03,671390.0
2009-12-04,671720.0
2009-12-07,672190.0
2009-12-08,672230.0
2009-12-09,672250.0
2009-12-10,672330.0
2009-12-11,672630.0
2009-12-14,673410.0
2009-12-15,674280.0
2009-12-16,674760.0
2009-12-17,675800.0
2009-12-18,676440.0
2009-12-21,677350.0
2009-12-22,677390.0
2009-12-23,677750.0
2009-12-24,678060.0
2009-12-28,678220.0
2009-12-29,678440.0
2009-12-30,678480.0
2009-12-31,678610.0
